station,event1,event2,Δτl,Δτc,Δτr,Δτr2,Δτl2,ccl,ccc,ccr,Δτ,Δτp,cs,x1,x2,Δτ2,n1,n2
IU.WAKE.00.BHZ,1998-08-30T06:10:27.92,2013-09-12T11:28:52.01,"[0.04839598633199659, 0.196074581283928]","[0.48972933181072215, 0.4929926175779836]","[0.9326448863986755, 0.7878532830120709]","[1.3845527044429429, 1.3481657627353643]","[-0.40474834652477737, -0.5263693881087533]","[0.5339003754848777, 0.24691586519953676]","[0.6361171156673209, 0.3554828106367481]","[0.5963398171413039, 0.33228553581386033]",0.48972933181072215,0.20559213743540067,2,0.2841371943753215,-0.0032632857672614812,0.4929926175779836,0.012486672753963535,0.003926481755411271
IU.WAKE.00.BHZ,1998-08-30T06:10:27.92,2016-07-03T09:06:01.44,"[-0.27011485662486584, -0.10547382915849475]","[0.18503439740819247, 0.1800014253408139]","[0.6342013990517382, 0.46020604999773845]","[1.0878170565684775, 1.1477225421513981]","[-0.7246065671371653, -0.6765784363843649]","[0.5786776434229395, 0.36960077916684114]","[0.6411055250908072, 0.3496851446150624]","[0.6130232533117107, 0.19147433223275248]",0.18503439740819247,-0.1477198360354796,2,0.33275423344367205,0.005032972067378572,0.1800014253408139,-0.024445218177057443,-0.003926481755411243
IU.WAKE.00.BHZ,1998-10-16T04:40:11.46,2006-08-06T15:46:31.37,"[0.932482052932761, 1.020196422875027]","[1.3517119245344982, 1.3197242243511742]","[1.7634504855247184, 1.6112180021252125]","[2.131449865764872, 2.1503965544189243]","[0.5000523032899953, 0.7156856432826121]","[0.5147299162097777, 0.5064557567864691]","[0.6449249676834121, 0.5334533924337701]","[0.3871052684443997, 0.3728653370947645]",0.932482052932761,0.5096144915253519,1,0.8420974330091463,0.031987700183323975,1.020196422875027,-0.038375610341288446,0.0
IU.WAKE.00.BHZ,1998-11-08T12:40:45.17,2012-11-24T08:59:47.62,"[-0.4631599942396924, -0.38814798853598753]","[-0.07217695529832374, -0.07039432174756591]","[0.3158271619097618, 0.24757265338599113]","[0.6933400385740418, 0.5634886926818394]","[-0.8397037647188044, -0.7036458743921473]","[0.6448842775511962, 0.683308163204324]","[0.809270303419447, 0.810984892579093]","[0.683848452585809, 0.6442390232411694]",-0.07217695529832374,0.04696624360131346,2,-0.1191431988996372,-0.001782633550757834,-0.07039432174756591,-0.00908164526053512,-0.003284303382973308
IU.WAKE.00.BHZ,1998-11-08T12:40:45.17,2018-01-05T15:54:13.56,"[0.1911652061640871, 0.23916730966533423]","[0.5780101044121893, 0.5560792950267]","[0.9653341413070005, 0.8765729137299558]","[1.3463646865801429, 1.4196077235329698]","[-0.1855018326776004, -0.071705554622972]","[0.6861474922147085, 0.68464828465623]","[0.8214686835911718, 0.6624553702650608]","[0.734256390592202, 0.3767881661737074]",0.5780101044121893,0.6804839840256293,2,-0.10247387961344001,0.021930809385489303,0.5560792950267,0.004104559190609147,0.0032843033829736967
IU.WAKE.00.BHZ,1998-11-30T13:52:18.16,2010-03-05T07:39:44.52,"[0.648075039403489, 0.7175000726311656]","[1.0584257406808697, 1.0304558754992408]","[1.4636525312622795, 1.355575303720979]","[1.8436089799787696, 1.7411574869421151]","[0.23171854950157775, 0.41349661044271396]","[0.7975885804019142, 0.5186627861947543]","[0.7862139436064085, 0.5454848002096675]","[0.4933437564913202, 0.2938470674376201]",0.23171854950157775,-0.5566314470516425,5,1.6150571877325122,0.027969865181628917,0.41349661044271396,0.01254524387692571,0.005396287028423957
IU.WAKE.00.BHZ,1998-11-30T13:52:18.16,2015-02-10T19:23:46.57,"[-0.4670243637413574, -0.3874266258551839]","[-0.045667105550170915, -0.07384812905858608]","[0.3788705399949046, 0.23782314537804047]","[0.821467424603489, 0.8048244214002506]","[-0.8985909582280095, -0.6941145216601892]","[0.5975353903615475, 0.4150179873377951]","[0.6739786778110868, 0.41205695220689326]","[0.5108394787050667, 0.27315883085479226]",-0.045667105550170915,0.020480787406478566,2,-0.06614789295664948,0.028181023508415164,-0.07384812905858608,-0.01228168365993082,-0.005396287028423284
IU.WAKE.00.BHZ,1999-01-31T17:01:28.19,2011-01-11T16:01:15.55,"[0.5277426892612048, 0.6057774553206846]","[0.9272421694507248, 0.9419614042351846]","[1.3415408739308576, 1.3032215379299337]","[1.7682881773377555, 1.627092715143196]","[0.15923508924691887, 0.2621212128734145]","[0.3904220678609792, 0.27551464431826433]","[0.6691926222676435, 0.3011637568150719]","[0.6101507373363384, 0.3422242001606027]",0.9272421694507248,0.6653910967372744,2,0.26185107271345043,-0.0147192347844598,0.9419614042351846,0.0021256889721288363,0.0
IU.WAKE.00.BHZ,1999-01-31T17:01:28.19,2013-12-04T18:43:27.83,"[-0.3187509439101334, -0.26527773661028803]","[0.08067380421446138, 0.06853976272911354]","[0.48617206363544907, 0.40736022749256995]","[0.8661025741659343, 0.74520564218328]","[-0.7000373536897901, -0.6067066052705273]","[0.4943055148373698, 0.4062665608819485]","[0.6597571353198612, 0.4412471165626005]","[0.4662491876726357, 0.34597892728038226]",0.08067380421446138,0.1822365656523578,2,-0.10156276143789641,0.012134041485347843,0.06853976272911354,-0.03119136074907046,0.004018367381786139
IU.WAKE.00.BHZ,1999-01-31T17:01:28.19,2019-07-16T15:25:43.74,"[0.799956462721063, 0.8243756371276353]","[1.2122016159381412, 1.1517516342342162]","[1.6227988165160565, 1.4736723048535267]","[1.999873494945537, 1.8064507820089344]","[0.40448314597901125, 0.47572175387353005]","[0.588415669312605, 0.4034297725932521]","[0.6053152102357383, 0.41041553274381987]","[0.3217537140773072, 0.2441114925500208]",0.799956462721063,0.6078017237310939,1,0.6043998922070474,0.060449981703925015,0.8243756371276353,0.03845470954467045,-0.004018367381786181
IU.WAKE.00.BHZ,1999-02-24T07:21:32.35,2012-11-24T17:40:22.71,"[0.5032482788825398, 0.6063547727271766]","[0.9235181654875767, 0.9268003477497669]","[1.343561148837125, 1.2591649451520586]","[1.7714636223207252, 1.606104320650022]","[0.07616056716520563, 0.28441322062354274]","[0.7365018448797822, 0.452228101510142]","[0.8843085500631649, 0.5641749043087628]","[0.7250901260606406, 0.4008136801098508]",0.9235181654875767,0.8356704778733686,2,0.08784768761420814,-0.0032821822621902363,0.9268003477497669,0.004675000215569103,0.0
IU.WAKE.00.BHZ,1999-03-21T10:17:55.48,2003-02-04T16:37:32.06,"[0.5747202935329825, 0.7307332731317846]","[1.0411236853228039, 1.0583646728744915]","[1.5039620667002633, 1.385187724674704]","[1.9934857950416622, 2.0723220549504493]","[0.08564660425105301, 0.052214394194456934]","[0.5430272087333649, 0.2853667568897538]","[0.7880815948816087, 0.3756477116757173]","[0.6616563892311993, 0.26587695743154016]",1.0411236853228039,0.8653693111317293,2,0.17575437419107454,-0.01724098755168768,1.0583646728744915,0.00048802013501525465,0.0
IU.WAKE.00.BHZ,1999-04-05T10:27:51.44,2020-11-20T18:01:24.11,"[1.1483482726194263, 1.2504426252196905]","[1.5670219231323455, 1.5649796820549604]","[1.995924254112128, 1.879460906354201]","[2.4293541132150094, 2.471814925399183]","[0.7598257843992329, 0.6832621728022484]","[0.45314629139934465, 0.2947084831250622]","[0.687606477330804, 0.3680570658133367]","[0.602089470580857, 0.32970810326467115]",1.5670219231323455,1.2222731061272163,2,0.34474881700512916,0.002042241077385043,1.5649796820549604,-0.0015986743874225606,0.0
IU.WAKE.00.BHZ,1999-04-26T06:14:13.5,2015-02-05T20:28:42.76,"[-0.778573701403899, -0.6579405810297583]","[-0.3546192650154429, -0.35063708738768407]","[0.07888932355547112, -0.04879987523760931]","[0.5544766540062301, 0.5415595171795026]","[-1.2485713477966511, -1.3729867922294254]","[0.5851708969588707, 0.38441317461505087]","[0.7896364948152357, 0.5928955040140331]","[0.6371436125241228, 0.5739086573361472]",-0.3546192650154429,-0.4168615350378444,2,0.062242270022401514,-0.0039821776277588206,-0.35063708738768407,-0.024122261663900135,0.005093292291883489
IU.WAKE.00.BHZ,1999-04-26T06:14:13.5,2017-07-01T18:53:11.37,"[-0.019047264935862403, 0.16781602716119368]","[0.4105794300727088, 0.4621870327899654]","[0.83579732011443, 0.766767711315263]","[1.3196211677025829, 1.0824847953201318]","[-0.5410402136132726, -0.6452314683104647]","[0.35780978021633764, 0.2043108654324545]","[0.6145639519770149, 0.3751668727195023]","[0.558374307769083, 0.37883927564574366]",0.4105794300727088,0.06909591146341237,2,0.34148351860929643,-0.05160760271725662,0.4621870327899654,-0.03160296959673525,-0.0006486453416281179
IU.WAKE.00.BHZ,1999-04-26T06:14:13.5,2018-02-02T10:44:48.31,"[1.0471021345915263, 1.1992266969972418]","[1.4775841461169006, 1.5033177375715192]","[1.9051390678724063, 1.8058640613357941]","[2.3815485555708897, 2.496783399981615]","[0.5341770568550197, 0.49580250646414104]","[0.42135215195487513, 0.2848329544592114]","[0.6861828729442128, 0.44889455294868125]","[0.6121712795111632, 0.4116984516618815]",1.4775841461169006,1.135238157990913,2,0.3423459881259876,-0.02573359145461862,1.5033177375715192,-0.007681505257371324,-0.004580464078884905
IU.WAKE.00.BHZ,1999-04-26T06:14:13.5,2018-08-16T10:44:09.3,"[-0.6194715451353131, -0.5003226635420208]","[-0.19384747359028254, -0.20536622692529619]","[0.24793035288273177, 0.09288291419469456]","[0.74776076324886, 0.8267635736267793]","[-1.0755800795532307, -0.7698480534084644]","[0.5678476769593093, 0.4004152363379455]","[0.7055901359512006, 0.5214095807931263]","[0.5242502421308506, 0.3626205886144447]",-0.19384747359028254,-0.34786847084735917,2,0.15402099725707663,0.011518753335013648,-0.20536622692529619,0.12952027205229694,0.00013581712862981155
IU.WAKE.00.BHZ,1999-05-24T20:38:07.4,2012-09-17T08:22:30.64,"[3.501834485366608, 3.597023888132725]","[3.890370295912075, 3.9273167381069056]","[4.278374168507898, 4.252569331463755]","[4.65158959283042, 4.581000086165028]","[2.8589442330264596, 2.847674792730936]","[0.3539367731269499, 0.32878842463864205]","[0.7471738007279651, 0.5416989698751559]","[0.6839424279241777, 0.5865880411355127]",3.501834485366608,2.5934134363116947,1,1.2969568596003804,-0.03694644219483045,3.597023888132725,0.015335316435505675,0.00502532574501835
IU.WAKE.00.BHZ,1999-05-24T20:38:07.4,2020-06-19T05:45:41.13,"[-0.24952560082646205, -0.1320380308750492]","[0.14389989680913715, 0.18983702426887844]","[0.5361380479514374, 0.5174866478172531]","[0.9082231744021685, 0.8498175559172081]","[-0.8642555556057978, -0.8899357631238449]","[0.3299179430476625, 0.36019887576335713]","[0.7761974182850844, 0.5895531374742417]","[0.748973505754909, 0.6031930278034789]",0.14389989680913715,-0.2571399646620148,2,0.4010398614711519,-0.045937127459741295,0.18983702426887844,0.0020292356401708234,-0.0065446112032146175
IU.WAKE.00.BHZ,1999-05-24T20:38:07.4,2021-05-19T10:21:41.29,"[-1.7554330307217119, -1.696577697060248]","[-1.3711949136281776, -1.3663870861261713]","[-0.9853154077592751, -1.0302208215136193]","[-0.6248963721925038, -0.69416524551541]","[-2.4203335870327645, -2.344978302184936]","[0.3609785879196684, 0.42072996510577404]","[0.6284642379798867, 0.43882264593936765]","[0.5067059139451223, 0.3701412948223711]",-1.3711949136281776,-1.1441431518388554,2,-0.22705176178932218,-0.004807827502006257,-1.3663870861261713,-0.024043250035836072,0.0015192854581951298
