station,event1,event2,Δτl,Δτc,Δτr,Δτr2,ccl,ccc,ccr,Δτ,Δτp,cs,x1,x2,Δτ2,n1,n2
H11N3,2008-03-19T20:06:22.9,2013-01-24T02:32:10.84,"[-1.8001977023422566, -1.715990237795858]","[-1.4224497116315702, -1.435372220606346]","[-1.0323809938331796, -1.1577784599356726]","[-0.6378284161177175, -0.6161103502903659]","[0.40859417091170286, 0.5045412964442784]","[0.6541116338829646, 0.6318038559496513]","[0.624967629757439, 0.5239167650984314]",-1.0323809938331796,-0.654058426672128,3,-0.7683912849594422,0.01292250897477576,-1.1577784599356726,0.007082491251310108,0.004235562047145702
H11N3,2008-03-19T20:06:22.9,2018-02-07T00:15:28.13,"[-0.19855245272993688, -0.16766925150078055]","[0.20420038691634734, 0.12515443260558318]","[0.6147313824024427, 0.4195320129150173]","[1.015921236160936, 1.0297770838059706]","[0.6356908073888778, 0.5638515019424749]","[0.7088874168413271, 0.4581247047160484]","[0.48858434764400366, 0.2900396080889058]",0.20420038691634734,0.6325105716817396,2,-0.4283101847653923,0.07904595431076417,0.12515443260558318,0.016195514593180527,-0.00457060342701876
H11N3,2008-03-19T20:06:22.9,2019-09-08T13:04:25.19,"[-2.5312703795494036, -2.4324941311765857]","[-2.1454193348254096, -2.1433817255269343]","[-1.7603754589195388, -1.8486866710249659]","[-1.3827888904468884, -1.5525301199759156]","[0.6727145172447804, 0.510260427812761]","[0.8414013768790338, 0.6045769701209294]","[0.6549971773201703, 0.48835569862437783]",-1.3827888904468884,-0.07464049473914303,4,-2.0707788400862666,-0.002037609298475296,-1.5525301199759156,-0.015322563536031897,0.0014899183576777553
H11N3,2008-05-13T18:00:13.67,2021-04-14T03:27:44.57,"[0.021378928259754196, 0.15272447443453402]","[0.41891422449217697, 0.43302223417029356]","[0.8109957383840354, 0.7140116389665563]","[1.2062598897516208, 0.9908297017735966]","[0.6564598156772795, 0.638189039827489]","[0.8147495176323081, 0.7378856024406072]","[0.6458887410992563, 0.5845647065504526]",0.41891422449217697,0.3494925249404892,2,0.06942169955168775,-0.014108009678116595,0.43302223417029356,-0.006828306793184247,0.0
H11N3,2008-07-21T04:50:11.33,2008-07-21T04:52:15.7,"[-1.2890702129886253, -1.1980671639017388]","[-0.9112575787032722, -0.914827089837982]","[-0.5365454058326998, -0.6300498640679819]","[-0.16776454679859124, -0.34261800151252636]","[0.7245359095282875, 0.5423779458816562]","[0.7373701653577244, 0.73433106604102]","[0.48291930880534584, 0.6186703269850616]",-0.9112575787032722,-0.9187320918307402,2,0.007474513127468052,0.003569511134709824,-0.914827089837982,0.00569674821733146,0.0
H11N3,2008-08-31T05:04:21.38,2013-08-18T23:27:58.75,"[2.810247584169847, 2.888727037046224]","[3.1831933653522833, 3.1801689678169596]","[3.555271019116152, 3.469728620818842]","[3.929019382946288, 3.758917343734355]","[0.6363117788403498, 0.6682066415228239]","[0.8042740926849867, 0.7616957647712657]","[0.6397425310947461, 0.6413445989835811]",3.1831933653522833,3.1766576359942,2,0.00653572935808322,0.0030243975353236863,3.1801689678169596,-0.02016943487529943,0.0049626418216615065
H11N3,2008-08-31T05:04:21.38,2014-07-08T12:52:47.73,"[0.9855132809897459, 1.0494806183970995]","[1.3700147937725367, 1.3349985865253577]","[1.7530037272620431, 1.6203301582581922]","[2.1268045672554, 2.2397114242640503]","[0.681703041789674, 0.3856203756370078]","[0.7165991717171746, 0.4262873669553016]","[0.49698551387760037, 0.29143916149237814]",0.9855132809897459,0.641321456983218,1,0.7286933367893187,0.03501620724717891,1.0494806183970995,0.00906500045269254,-0.0007546062815535493
H11N3,2008-08-31T05:04:21.38,2016-04-19T17:37:44.85,"[0.4794208833540968, 0.5420595760049183]","[0.8549037958831823, 0.8332996086405952]","[1.2349469470877588, 1.12035105665968]","[1.6169460168049026, 1.4026068661551132]","[0.7010317273762412, 0.4444308061803088]","[0.7985832354643208, 0.548131343396469]","[0.5723786267849641, 0.4764734993706439]",0.8549037958831823,0.8764825800957615,2,-0.021578784212579194,0.02160418724258717,0.8332996086405952,0.00619415657184752,-0.0005185389898216819
H11N3,2008-08-31T05:04:21.38,2018-05-10T10:21:45.85,"[-1.0398308004473513, -0.9623391307810198]","[-0.6706410618413344, -0.6723096602714865]","[-0.2990568733394471, -0.380885779204813]","[0.07892831876688693, -0.08441480417892666]","[0.4766948019903817, 0.5073669953186505]","[0.6022542691934905, 0.5509064391089824]","[0.5465503042968005, 0.429924890999416]",-0.6706410618413344,-0.7804116256176012,2,0.10977056377626682,0.0016685984301521017,-0.6723096602714865,0.0031026009253626308,0.0030759512821700863
H11N3,2008-08-31T05:04:21.38,2020-12-01T17:11:55.05,"[-0.8518760513995141, -0.7840231148944269]","[-0.4699980430301282, -0.49239445160561374]","[-0.08705086494108301, -0.20067635332989073]","[0.2959749251321779, 0.39535107562814176]","[0.5048761348782984, 0.5226436395297416]","[0.6927953464944872, 0.5039120378485663]","[0.5956838964914309, 0.3640721151883241]",-0.4699980430301282,-0.3461031391042303,2,-0.12389490392589791,0.022396408575485527,-0.49239445160561374,-0.004449882450159426,-0.0067654478324533085
